top_ten_repository,year,month,day,open,closed
TrinityCore/TrinityCore,2012,02,08,10,25
TrinityCore/TrinityCore,2012,02,09,10,13
TrinityCore/TrinityCore,2012,02,10,16,10
TrinityCore/TrinityCore,2012,02,11,12,19
TrinityCore/TrinityCore,2012,02,12,15,33
TrinityCore/TrinityCore,2012,02,13,14,9
TrinityCore/TrinityCore,2012,02,14,11,11
TrinityCore/TrinityCore,2012,02,15,9,37
TrinityCore/TrinityCore,2012,02,16,16,8
TrinityCore/TrinityCore,2012,02,17,20,4
TrinityCore/TrinityCore,2012,02,18,13,21
TrinityCore/TrinityCore,2012,02,19,11,20
TrinityCore/TrinityCore,2012,02,20,11,6
TrinityCore/TrinityCore,2012,02,21,13,19
TrinityCore/TrinityCore,2012,02,22,20,15
TrinityCore/TrinityCore,2012,02,23,9,8
TrinityCore/TrinityCore,2012,02,24,16,10
TrinityCore/TrinityCore,2012,02,25,19,10
TrinityCore/TrinityCore,2012,02,26,13,11
TrinityCore/TrinityCore,2012,02,27,18,4
TrinityCore/TrinityCore,2012,02,28,10,5
TrinityCore/TrinityCore,2012,02,29,18,11
TrinityCore/TrinityCore,2012,03,01,21,26
TrinityCore/TrinityCore,2012,03,02,17,11
TrinityCore/TrinityCore,2012,03,03,9,4
TrinityCore/TrinityCore,2012,03,04,10,10
TrinityCore/TrinityCore,2012,03,05,10,4
TrinityCore/TrinityCore,2012,03,06,9,4
TrinityCore/TrinityCore,2012,03,07,12,10
TrinityCore/TrinityCore,2012,03,08,7,0
TrinityCore/TrinityCore,2012,03,09,9,6
TrinityCore/TrinityCore,2012,03,10,1,1
cabennett85/gittest,2012,03,01,592,520
cabennett85/gittest,2012,03,02,1052,600
twitter/bootstrap,2012,01,01,0,1
twitter/bootstrap,2012,01,02,4,5
twitter/bootstrap,2012,01,03,3,4
twitter/bootstrap,2012,01,04,6,3
twitter/bootstrap,2012,01,05,7,6
twitter/bootstrap,2012,01,06,8,5
twitter/bootstrap,2012,01,07,7,31
twitter/bootstrap,2012,01,08,5,20
twitter/bootstrap,2012,01,09,14,9
twitter/bootstrap,2012,01,10,13,7
twitter/bootstrap,2012,01,11,6,6
twitter/bootstrap,2012,01,12,7,7
twitter/bootstrap,2012,01,13,5,3
twitter/bootstrap,2012,01,14,6,2
twitter/bootstrap,2012,01,15,12,13
twitter/bootstrap,2012,01,16,6,1
twitter/bootstrap,2012,01,17,8,0
twitter/bootstrap,2012,01,18,13,10
twitter/bootstrap,2012,01,19,8,0
twitter/bootstrap,2012,01,20,10,9
twitter/bootstrap,2012,01,21,4,5
twitter/bootstrap,2012,01,22,3,10
twitter/bootstrap,2012,01,23,10,31
twitter/bootstrap,2012,01,24,26,9
twitter/bootstrap,2012,01,25,45,43
twitter/bootstrap,2012,01,26,36,26
twitter/bootstrap,2012,01,27,36,37
twitter/bootstrap,2012,01,28,35,57
twitter/bootstrap,2012,01,29,40,37
twitter/bootstrap,2012,01,30,30,28
twitter/bootstrap,2012,01,31,17,9
twitter/bootstrap,2012,02,01,53,12
twitter/bootstrap,2012,02,02,68,54
twitter/bootstrap,2012,02,03,41,15
twitter/bootstrap,2012,02,04,23,2
twitter/bootstrap,2012,02,05,18,55
twitter/bootstrap,2012,02,06,23,15
twitter/bootstrap,2012,02,07,23,19
twitter/bootstrap,2012,02,08,30,15
twitter/bootstrap,2012,02,09,22,11
twitter/bootstrap,2012,02,10,15,19
twitter/bootstrap,2012,02,11,9,18
twitter/bootstrap,2012,02,12,17,54
twitter/bootstrap,2012,02,13,20,37
twitter/bootstrap,2012,02,14,13,6
twitter/bootstrap,2012,02,15,17,2
twitter/bootstrap,2012,02,16,13,1
twitter/bootstrap,2012,02,17,25,32
twitter/bootstrap,2012,02,18,9,18
twitter/bootstrap,2012,02,19,12,16
twitter/bootstrap,2012,02,20,19,26
twitter/bootstrap,2012,02,21,18,23
twitter/bootstrap,2012,02,22,20,17
twitter/bootstrap,2012,02,23,34,11
twitter/bootstrap,2012,02,24,15,16
twitter/bootstrap,2012,02,25,10,15
twitter/bootstrap,2012,02,26,8,1
twitter/bootstrap,2012,02,27,15,10
twitter/bootstrap,2012,02,28,22,26
twitter/bootstrap,2012,02,29,12,1
twitter/bootstrap,2012,03,01,16,20
twitter/bootstrap,2012,03,02,17,4
twitter/bootstrap,2012,03,03,7,2
twitter/bootstrap,2012,03,04,6,12
twitter/bootstrap,2012,03,05,9,3
twitter/bootstrap,2012,03,06,18,24
twitter/bootstrap,2012,03,07,10,17
twitter/bootstrap,2012,03,08,15,4
twitter/bootstrap,2012,03,09,11,8
robmcmullen/peppy,2012,02,21,972,820
robmcmullen/peppy,2012,02,22,1,1
robmcmullen/peppy,2012,02,23,2,0
robmcmullen/peppy,2012,02,24,2,1
robmcmullen/peppy,2012,02,25,0,1
robmcmullen/peppy,2012,02,27,1,0
Khan/khan-exercises,2012,01,01,27,0
Khan/khan-exercises,2012,01,02,67,0
Khan/khan-exercises,2012,01,03,107,4
Khan/khan-exercises,2012,01,04,150,128
Khan/khan-exercises,2012,01,05,134,1
Khan/khan-exercises,2012,01,06,98,344
Khan/khan-exercises,2012,01,07,39,107
Khan/khan-exercises,2012,01,08,64,0
Khan/khan-exercises,2012,01,09,93,5
Khan/khan-exercises,2012,01,10,113,6
Khan/khan-exercises,2012,01,11,76,105
Khan/khan-exercises,2012,01,12,96,0
Khan/khan-exercises,2012,01,13,88,10
Khan/khan-exercises,2012,01,14,57,224
Khan/khan-exercises,2012,01,15,74,3
Khan/khan-exercises,2012,01,16,58,495
Khan/khan-exercises,2012,01,17,85,0
Khan/khan-exercises,2012,01,18,88,0
Khan/khan-exercises,2012,01,19,88,0
Khan/khan-exercises,2012,01,20,86,0
Khan/khan-exercises,2012,01,21,54,0
Khan/khan-exercises,2012,01,22,61,0
Khan/khan-exercises,2012,01,23,76,0
Khan/khan-exercises,2012,01,24,86,1
Khan/khan-exercises,2012,01,25,92,105
Khan/khan-exercises,2012,01,26,100,11
Khan/khan-exercises,2012,01,27,89,0
Khan/khan-exercises,2012,01,28,37,60
Khan/khan-exercises,2012,01,29,53,0
Khan/khan-exercises,2012,01,30,78,428
Khan/khan-exercises,2012,01,31,178,225
Khan/khan-exercises,2012,02,01,151,167
Khan/khan-exercises,2012,02,02,108,0
Khan/khan-exercises,2012,02,03,84,0
Khan/khan-exercises,2012,02,04,45,0
Khan/khan-exercises,2012,02,05,48,1
Khan/khan-exercises,2012,02,06,66,0
Khan/khan-exercises,2012,02,07,121,0
Khan/khan-exercises,2012,02,08,101,12
Khan/khan-exercises,2012,02,09,90,1
Khan/khan-exercises,2012,02,10,102,0
Khan/khan-exercises,2012,02,11,34,0
Khan/khan-exercises,2012,02,12,44,0
Khan/khan-exercises,2012,02,13,62,0
Khan/khan-exercises,2012,02,14,81,268
Khan/khan-exercises,2012,02,15,92,1
Khan/khan-exercises,2012,02,16,88,1
Khan/khan-exercises,2012,02,17,68,0
Khan/khan-exercises,2012,02,18,48,0
Khan/khan-exercises,2012,02,19,50,0
Khan/khan-exercises,2012,02,20,54,0
Khan/khan-exercises,2012,02,21,99,0
Khan/khan-exercises,2012,02,22,88,0
Khan/khan-exercises,2012,02,23,95,2
Khan/khan-exercises,2012,02,24,82,0
Khan/khan-exercises,2012,02,25,40,1041
Khan/khan-exercises,2012,02,26,33,0
Khan/khan-exercises,2012,02,27,98,0
Khan/khan-exercises,2012,02,28,78,0
Khan/khan-exercises,2012,02,29,161,0
Khan/khan-exercises,2012,03,01,153,0
Khan/khan-exercises,2012,03,02,69,14
Khan/khan-exercises,2012,03,03,47,0
Khan/khan-exercises,2012,03,04,55,0
Khan/khan-exercises,2012,03,05,101,0
Khan/khan-exercises,2012,03,06,100,0
Khan/khan-exercises,2012,03,07,80,0
Khan/khan-exercises,2012,03,08,83,0
Khan/khan-exercises,2012,03,09,92,0
Khan/khan-exercises,2012,03,10,16,0
mxcl/homebrew,2012,01,01,6,1
mxcl/homebrew,2012,01,02,4,4
mxcl/homebrew,2012,01,03,4,2
mxcl/homebrew,2012,01,04,6,3
mxcl/homebrew,2012,01,05,3,2
mxcl/homebrew,2012,01,06,4,3
mxcl/homebrew,2012,01,07,2,4
mxcl/homebrew,2012,01,08,4,4
mxcl/homebrew,2012,01,09,9,5
mxcl/homebrew,2012,01,10,5,2
mxcl/homebrew,2012,01,11,6,6
mxcl/homebrew,2012,01,12,6,4
mxcl/homebrew,2012,01,13,5,6
mxcl/homebrew,2012,01,14,3,5
mxcl/homebrew,2012,01,15,1,5
mxcl/homebrew,2012,01,16,6,2
mxcl/homebrew,2012,01,17,13,13
mxcl/homebrew,2012,01,18,2,2
mxcl/homebrew,2012,01,19,3,9
mxcl/homebrew,2012,01,20,7,7
mxcl/homebrew,2012,01,21,3,2
mxcl/homebrew,2012,01,22,9,16
mxcl/homebrew,2012,01,23,7,11
mxcl/homebrew,2012,01,24,2,13
mxcl/homebrew,2012,01,25,4,3
mxcl/homebrew,2012,01,26,7,6
mxcl/homebrew,2012,01,27,8,3
mxcl/homebrew,2012,01,28,5,5
mxcl/homebrew,2012,01,29,12,21
mxcl/homebrew,2012,01,30,9,20
mxcl/homebrew,2012,01,31,10,6
mxcl/homebrew,2012,02,01,9,11
mxcl/homebrew,2012,02,02,1,5
mxcl/homebrew,2012,02,03,2,11
mxcl/homebrew,2012,02,04,4,45
mxcl/homebrew,2012,02,05,7,10
mxcl/homebrew,2012,02,06,3,3
mxcl/homebrew,2012,02,07,6,5
mxcl/homebrew,2012,02,08,8,7
mxcl/homebrew,2012,02,09,20,15
mxcl/homebrew,2012,02,10,8,10
mxcl/homebrew,2012,02,11,7,5
mxcl/homebrew,2012,02,12,8,4
mxcl/homebrew,2012,02,13,10,9
mxcl/homebrew,2012,02,14,12,12
mxcl/homebrew,2012,02,15,9,10
mxcl/homebrew,2012,02,16,4,6
mxcl/homebrew,2012,02,17,18,9
mxcl/homebrew,2012,02,18,15,18
mxcl/homebrew,2012,02,19,13,18
mxcl/homebrew,2012,02,20,12,16
mxcl/homebrew,2012,02,21,13,9
mxcl/homebrew,2012,02,22,20,13
mxcl/homebrew,2012,02,23,15,8
mxcl/homebrew,2012,02,24,11,11
mxcl/homebrew,2012,02,25,9,12
mxcl/homebrew,2012,02,26,16,23
mxcl/homebrew,2012,02,27,13,12
mxcl/homebrew,2012,02,28,15,9
mxcl/homebrew,2012,02,29,11,13
mxcl/homebrew,2012,03,01,13,9
mxcl/homebrew,2012,03,02,9,10
mxcl/homebrew,2012,03,03,6,5
mxcl/homebrew,2012,03,04,1,3
mxcl/homebrew,2012,03,05,12,6
mxcl/homebrew,2012,03,06,6,19
mxcl/homebrew,2012,03,07,18,15
mxcl/homebrew,2012,03,08,7,5
mxcl/homebrew,2012,03,09,11,11
mxcl/homebrew,2012,03,10,0,1
Atlantiss/AtlantissCore,2012,01,01,4,1
Atlantiss/AtlantissCore,2012,01,02,0,7
Atlantiss/AtlantissCore,2012,01,03,5,14
Atlantiss/AtlantissCore,2012,01,04,23,25
Atlantiss/AtlantissCore,2012,01,05,3,6
Atlantiss/AtlantissCore,2012,01,06,2,14
Atlantiss/AtlantissCore,2012,01,07,6,22
Atlantiss/AtlantissCore,2012,01,08,13,9
Atlantiss/AtlantissCore,2012,01,09,5,1
Atlantiss/AtlantissCore,2012,01,10,15,1
Atlantiss/AtlantissCore,2012,01,11,23,16
Atlantiss/AtlantissCore,2012,01,12,2,9
Atlantiss/AtlantissCore,2012,01,13,0,11
Atlantiss/AtlantissCore,2012,01,14,18,2
Atlantiss/AtlantissCore,2012,01,15,18,13
Atlantiss/AtlantissCore,2012,01,16,4,8
Atlantiss/AtlantissCore,2012,01,17,5,11
Atlantiss/AtlantissCore,2012,01,18,3,6
Atlantiss/AtlantissCore,2012,01,19,10,10
Atlantiss/AtlantissCore,2012,01,20,3,2
Atlantiss/AtlantissCore,2012,01,21,6,3
Atlantiss/AtlantissCore,2012,01,22,39,5
Atlantiss/AtlantissCore,2012,01,23,5,0
Atlantiss/AtlantissCore,2012,01,24,7,1
Atlantiss/AtlantissCore,2012,01,26,3,7
Atlantiss/AtlantissCore,2012,01,28,2,6
Atlantiss/AtlantissCore,2012,01,30,0,8
Atlantiss/AtlantissCore,2012,01,31,5,14
Atlantiss/AtlantissCore,2012,02,01,2,3
Atlantiss/AtlantissCore,2012,02,02,0,1
Atlantiss/AtlantissCore,2012,02,03,0,17
Atlantiss/AtlantissCore,2012,02,04,0,4
Atlantiss/AtlantissCore,2012,02,05,23,7
Atlantiss/AtlantissCore,2012,02,07,13,2
Atlantiss/AtlantissCore,2012,02,08,0,6
Atlantiss/AtlantissCore,2012,02,09,0,13
Atlantiss/AtlantissCore,2012,02,10,0,13
Atlantiss/AtlantissCore,2012,02,12,0,6
Atlantiss/AtlantissCore,2012,02,13,1,0
Atlantiss/AtlantissCore,2012,02,15,11,3
Atlantiss/AtlantissCore,2012,02,16,0,11
Atlantiss/AtlantissCore,2012,02,17,37,21
Atlantiss/AtlantissCore,2012,02,18,0,11
Atlantiss/AtlantissCore,2012,02,19,12,4
Atlantiss/AtlantissCore,2012,02,20,0,9
Atlantiss/AtlantissCore,2012,02,21,0,34
Atlantiss/AtlantissCore,2012,02,22,0,11
Atlantiss/AtlantissCore,2012,02,23,7,5
Atlantiss/AtlantissCore,2012,02,24,38,16
Atlantiss/AtlantissCore,2012,02,25,4,13
Atlantiss/AtlantissCore,2012,02,26,0,19
Atlantiss/AtlantissCore,2012,02,27,0,36
Atlantiss/AtlantissCore,2012,02,28,1,2
Atlantiss/AtlantissCore,2012,03,01,0,14
Atlantiss/AtlantissCore,2012,03,02,0,11
Atlantiss/AtlantissCore,2012,03,03,0,8
Atlantiss/AtlantissCore,2012,03,05,0,29
Atlantiss/AtlantissCore,2012,03,06,0,11
Atlantiss/AtlantissCore,2012,03,07,1,8
Atlantiss/AtlantissCore,2012,03,08,0,2
Atlantiss/AtlantissCore,2012,03,09,2,4
3scale/issues-test,2012,02,10,805,734
3scale/issues-test,2012,02,13,746,680
3scale/issues-test,2012,02,14,28,1
rsanchezsaez/wiatches-iphone,2012,01,02,2,0
rsanchezsaez/wiatches-iphone,2012,01,03,12,17
rsanchezsaez/wiatches-iphone,2012,01,04,7,4
rsanchezsaez/wiatches-iphone,2012,01,05,22,29
rsanchezsaez/wiatches-iphone,2012,01,06,4,8
rsanchezsaez/wiatches-iphone,2012,01,07,0,2
rsanchezsaez/wiatches-iphone,2012,01,08,4,0
rsanchezsaez/wiatches-iphone,2012,01,09,4,4
rsanchezsaez/wiatches-iphone,2012,01,10,6,9
rsanchezsaez/wiatches-iphone,2012,01,11,7,11
rsanchezsaez/wiatches-iphone,2012,01,12,7,8
rsanchezsaez/wiatches-iphone,2012,01,13,2,4
rsanchezsaez/wiatches-iphone,2012,01,14,3,0
rsanchezsaez/wiatches-iphone,2012,01,16,11,13
rsanchezsaez/wiatches-iphone,2012,01,17,0,3
rsanchezsaez/wiatches-iphone,2012,01,18,10,7
rsanchezsaez/wiatches-iphone,2012,01,19,2,6
rsanchezsaez/wiatches-iphone,2012,01,20,3,5
rsanchezsaez/wiatches-iphone,2012,01,21,9,8
rsanchezsaez/wiatches-iphone,2012,01,22,1,0
rsanchezsaez/wiatches-iphone,2012,01,23,5,14
rsanchezsaez/wiatches-iphone,2012,01,24,7,16
rsanchezsaez/wiatches-iphone,2012,01,25,4,6
rsanchezsaez/wiatches-iphone,2012,01,26,0,7
rsanchezsaez/wiatches-iphone,2012,01,27,12,11
rsanchezsaez/wiatches-iphone,2012,01,28,8,3
rsanchezsaez/wiatches-iphone,2012,01,30,14,13
rsanchezsaez/wiatches-iphone,2012,01,31,4,1
rsanchezsaez/wiatches-iphone,2012,02,01,5,5
rsanchezsaez/wiatches-iphone,2012,02,02,12,8
rsanchezsaez/wiatches-iphone,2012,02,03,38,10
rsanchezsaez/wiatches-iphone,2012,02,04,2,1
rsanchezsaez/wiatches-iphone,2012,02,05,7,0
rsanchezsaez/wiatches-iphone,2012,02,06,24,14
rsanchezsaez/wiatches-iphone,2012,02,07,9,1
rsanchezsaez/wiatches-iphone,2012,02,08,6,31
rsanchezsaez/wiatches-iphone,2012,02,09,5,34
rsanchezsaez/wiatches-iphone,2012,02,10,18,10
rsanchezsaez/wiatches-iphone,2012,02,11,15,1
rsanchezsaez/wiatches-iphone,2012,02,12,15,2
rsanchezsaez/wiatches-iphone,2012,02,13,13,37
rsanchezsaez/wiatches-iphone,2012,02,14,26,6
rsanchezsaez/wiatches-iphone,2012,02,15,7,19
rsanchezsaez/wiatches-iphone,2012,02,16,4,3
rsanchezsaez/wiatches-iphone,2012,02,17,1,11
rsanchezsaez/wiatches-iphone,2012,02,18,1,12
rsanchezsaez/wiatches-iphone,2012,02,19,10,2
rsanchezsaez/wiatches-iphone,2012,02,20,2,12
rsanchezsaez/wiatches-iphone,2012,02,21,11,14
rsanchezsaez/wiatches-iphone,2012,02,22,14,8
rsanchezsaez/wiatches-iphone,2012,02,23,10,19
rsanchezsaez/wiatches-iphone,2012,02,24,38,13
rsanchezsaez/wiatches-iphone,2012,02,25,14,6
rsanchezsaez/wiatches-iphone,2012,02,26,12,9
rsanchezsaez/wiatches-iphone,2012,02,27,6,41
rsanchezsaez/wiatches-iphone,2012,02,28,17,20
rsanchezsaez/wiatches-iphone,2012,02,29,19,14
rsanchezsaez/wiatches-iphone,2012,03,01,8,10
rsanchezsaez/wiatches-iphone,2012,03,02,1,4
rsanchezsaez/wiatches-iphone,2012,03,04,1,4
rsanchezsaez/wiatches-iphone,2012,03,05,19,22
rsanchezsaez/wiatches-iphone,2012,03,06,7,20
rsanchezsaez/wiatches-iphone,2012,03,07,19,22
rsanchezsaez/wiatches-iphone,2012,03,08,6,7
rsanchezsaez/wiatches-iphone,2012,03,09,22,3
